0to1,0to3,1to0,1to2,1to4,2to1,2to5,3to0,3to4,4to1,4to3,4to5,5to2,5to4
193,402,402,278,298,436,279,193,400,346,193,439,440,277
374,768,768,492,665,949,493,378,763,598,377,951,957,487
1237,857,852,1193,826,370,1199,1244,851,1267,1245,372,372,1193
1582,1114,1107,1615,1052,514,1620,1587,1107,1680,1585,513,516,1609
1353,1558,1559,1185,1719,2123,1188,1359,1552,969,1351,2128,2133,1179
2349,1422,1410,2368,1463,639,2374,2362,1412,2254,2359,641,642,2361
1784,2028,2025,1371,2322,2813,1379,1792,2013,1107,1783,2819,2827,1372
2646,1934,1926,2746,1684,739,2757,2664,1921,2962,2670,744,744,2760
3002,1787,1771,3049,1920,849,3048,3009,1777,2883,3014,849,851,3041
2444,2348,2343,1949,2874,3183,1956,2462,2341,1540,2461,3175,3181,1943
3197,2034,2019,3090,2126,885,3083,3197,2025,3155,3194,891,889,3092
3125,1759,1751,3148,1944,792,3142,3112,1748,2911,3121,797,797,3146
1235,2573,2572,1620,2236,3137,1624,1238,2585,2046,1242,3142,3136,1606
2731,1938,1923,2750,1713,797,2742,2727,1926,2865,2708,798,800,2739
1008,2110,2107,1286,1826,2598,1292,1014,2116,1623,1010,2593,2589,1285
