step,3to0,1to0,4to1,0to1,2to1,5to2,1to2,0to3,4to3,1to4,3to4,5to4,2to5,4to5
0,16,11,17,12,9,16,14,20,13,15,12,15,14,10
1,16,11,17,12,9,15,14,19,13,15,12,15,14,10
2,15,11,17,12,9,15,14,19,13,15,12,15,14,10
3,15,12,16,12,9,15,14,19,13,15,12,15,14,10
4,15,12,16,13,9,15,14,19,13,15,12,15,13,10
5,15,12,16,13,9,14,14,18,13,15,12,15,13,10
6,14,12,16,13,9,14,14,18,13,14,12,16,13,10
7,14,12,15,13,10,14,14,18,13,14,13,16,13,10
8,14,12,15,14,10,14,15,18,13,14,13,16,12,10
9,14,12,15,14,10,13,15,17,13,14,13,16,12,10
10,13,12,15,14,10,13,15,17,13,14,13,16,12,10
11,13,12,15,14,11,13,15,17,13,13,13,17,12,10
12,13,12,14,14,11,13,15,17,13,13,14,17,12,11
13,13,12,14,15,11,13,16,16,14,13,14,17,11,11
14,13,12,14,15,11,12,17,16,14,13,14,17,11,11
15,12,12,14,15,11,12,17,16,14,12,14,18,11,11
16,12,12,13,15,12,12,17,16,14,12,14,18,11,11
17,12,12,13,16,12,12,17,16,14,12,15,18,10,11
18,12,12,13,16,12,12,17,15,14,12,15,18,10,11
19,11,12,13,16,12,11,17,15,14,12,15,18,10,11
20,11,12,13,16,12,11,17,15,14,11,15,19,10,11
21,11,12,12,17,13,11,17,15,14,11,15,19,9,12
22,11,12,12,17,13,11,18,14,14,11,16,19,9,12
23,11,12,12,17,13,10,18,14,14,11,16,19,9,12
24,10,12,12,17,13,10,18,14,14,10,16,19,9,12
25,10,12,11,17,14,10,18,14,14,10,16,20,9,12
26,10,12,11,18,14,10,18,14,14,10,17,20,8,13
27,10,13,11,18,14,10,19,13,14,10,17,20,8,13
28,9,13,11,18,14,9,19,13,14,10,17,20,8,13
29,9,13,11,18,14,9,19,13,14,9,17,21,8,13
30,9,13,10,19,15,9,19,13,14,9,17,21,7,13
31,9,14,10,19,15,9,19,12,14,9,18,21,7,14
32,9,14,10,19,15,9,19,12,14,9,18,21,7,14
33,8,14,10,19,15,8,19,12,14,8,18,21,7,14
