ave_speed,vel4_lag0,acc4_lag0,power4_lag0,vel4_lag1,acc4_lag1,power4_lag1,vel4_lag2,acc4_lag2,power4_lag2,vel4_lag3,acc4_lag3,power4_lag3,vel4_lag4,acc4_lag4,power4_lag4,vel3_lag0,acc3_lag0,power3_lag0,vel3_lag1,acc3_lag1,power3_lag1,vel3_lag2,acc3_lag2,power3_lag2,vel3_lag3,acc3_lag3,power3_lag3,vel3_lag4,acc3_lag4,power3_lag4,vel9_lag0,acc9_lag0,power9_lag0,vel9_lag1,acc9_lag1,power9_lag1,vel9_lag2,acc9_lag2,power9_lag2,vel9_lag3,acc9_lag3,power9_lag3,vel9_lag4,acc9_lag4,power9_lag4,vel5_lag0,acc5_lag0,power5_lag0,vel5_lag1,acc5_lag1,power5_lag1,vel5_lag2,acc5_lag2,power5_lag2,vel5_lag3,acc5_lag3,power5_lag3,vel5_lag4,acc5_lag4,power5_lag4,vel7_lag0,acc7_lag0,power7_lag0,vel7_lag1,acc7_lag1,power7_lag1,vel7_lag2,acc7_lag2,power7_lag2,vel7_lag3,acc7_lag3,power7_lag3,vel7_lag4,acc7_lag4,power7_lag4,vel10_lag0,acc10_lag0,power10_lag0,vel10_lag1,acc10_lag1,power10_lag1,vel10_lag2,acc10_lag2,power10_lag2,vel10_lag3,acc10_lag3,power10_lag3,vel10_lag4,acc10_lag4,power10_lag4
0.0,36.1,-0.323,1000.0,37.2,-0.294,1225.0,38.2,0.235,1175.0,37.4,0.147,1275.0,36.9,-0.235,1175.0,38.7,-0.176,1100.0,39.3,-0.117,1000.0,39.7,0.382,1150.0,38.4,0.088,1275.0,38.1,0.117,1300.0,35.9,0.676,1025.0,33.6,1.058,1025.0,30.0,0.852,1000.0,27.1,1.176,1075.0,23.1,1.235,1075.0,27.0,-1.323,525.0,31.5,-1.323,575.0,36.0,-0.97,900.0,39.3,0.0,1200.0,39.3,0.5,1175.0,36.6,-0.941,800.0,39.8,-0.264,950.0,40.7,0.882,975.0,37.7,1.294,1325.0,33.3,1.117,1275.0,20.4,-0.852,525.0,23.3,-1.117,525.0,27.1,-1.323,500.0,31.6,-1.058,700.0,35.2,-0.794,825.0
18.7,37.1,0.352,1200.0,35.9,-0.058,1075.0,36.1,-0.382,1200.0,37.4,0.176,1175.0,36.8,0.205,1225.0,29.9,-1.323,550.0,34.4,-1.235,675.0,38.6,-0.441,950.0,40.1,0.323,1100.0,39.0,0.088,1275.0,37.9,0.0,925.0,37.9,0.411,1050.0,36.5,0.088,1050.0,36.2,-0.147,1075.0,36.7,0.235,975.0,8.0,-1.117,800.0,11.8,-1.205,575.0,15.9,-0.97,575.0,19.2,-0.97,575.0,22.5,-1.323,550.0,15.9,-0.852,550.0,18.8,-1.264,575.0,23.1,-1.323,550.0,27.6,-1.323,575.0,32.1,-1.323,575.0,7.6,0.411,1075.0,6.2,-0.735,650.0,8.7,-0.941,550.0,11.9,-1.264,500.0,16.2,-1.235,500.0
18.0,37.4,-0.117,1225.0,37.8,0.352,1100.0,36.6,0.176,1175.0,36.0,-0.264,1025.0,36.9,-0.058,1025.0,11.3,-0.617,950.0,13.4,-0.911,675.0,16.5,-1.294,525.0,20.9,-1.294,550.0,25.3,-1.352,600.0,26.5,-1.294,500.0,30.9,-0.794,700.0,33.6,-0.294,800.0,34.6,-0.542,800.0,36.5,-0.411,825.0,18.5,1.294,1100.0,14.1,1.323,1225.0,9.6,1.0,1375.0,6.2,0.0,1200.0,6.2,-0.529,875.0,8.7,1.0,1100.0,5.3,0.147,1325.0,4.8,-0.882,850.0,7.8,-1.294,725.0,12.2,-1.088,550.0,24.9,1.058,1075.0,21.3,0.941,1050.0,18.1,1.235,1050.0,13.9,1.058,950.0,10.3,0.794,1050.0
0.0,22.6,-1.264,550.0,26.9,-1.235,600.0,31.1,-0.852,550.0,34.0,-0.735,900.0,36.5,-0.264,1100.0,23.2,1.323,1325.0,18.7,1.323,1175.0,14.2,0.823,1350.0,11.4,0.117,1375.0,11.0,-0.085,1150.0,8.0,-0.941,525.0,11.2,-1.235,550.0,15.4,-1.294,525.0,19.8,-0.911,525.0,22.9,-1.058,525.0,37.3,0.941,1125.0,34.1,1.294,1425.0,29.7,1.2,1450.0,25.5,0.882,1125.0,22.5,1.176,1200.0,28.7,0.882,1225.0,25.7,1.029,1050.0,22.2,1.294,1300.0,17.8,1.352,1350.0,13.2,1.323,1375.0,32.0,-1.264,525.0,36.3,0.029,900.0,36.2,0.882,900.0,33.2,1.147,1000.0,29.3,1.294,1075.0
0.0,4.4,-0.852,575.0,7.3,-1.235,550.0,11.5,-1.294,575.0,15.9,-0.97,550.0,19.2,-1.0,600.0,36.8,-0.205,700.0,37.5,1.0,1150.0,34.1,1.117,1075.0,30.3,0.882,1075.0,27.3,1.205,1050.0,0.0,0.0,525.0,0.0,-0.352,525.0,1.2,-0.588,525.0,3.2,-0.588,500.0,5.2,-0.823,550.0,19.3,-1.294,600.0,23.7,-1.323,625.0,28.2,-1.352,600.0,32.8,-1.029,575.0,36.3,-0.294,575.0,29.7,-1.352,650.0,34.3,-0.97,550.0,37.6,0.058,825.0,37.4,1.264,1325.0,33.1,1.294,1225.0,12.0,-1.058,550.0,15.6,-0.941,550.0,18.8,-1.235,525.0,23.0,-1.323,500.0,27.5,-1.323,550.0
40.8,0.0,0.0,600.0,0.0,0.0,575.0,0.0,0.0,575.0,0.0,-0.294,575.0,1.0,-1.0,600.0,15.0,-1.294,575.0,19.4,-1.323,575.0,23.9,-1.352,575.0,28.5,-1.294,550.0,32.9,-1.147,575.0,0.4,0.117,575.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,0.0,525.0,0.2,-1.029,550.0,3.7,-1.294,575.0,8.1,-1.235,550.0,12.3,-0.882,525.0,15.3,-1.176,575.0,9.7,-0.882,525.0,12.7,-1.058,525.0,16.3,-1.264,575.0,20.6,-1.352,600.0,25.2,-1.323,625.0,0.0,0.0,550.0,0.0,-0.205,550.0,0.7,-0.882,550.0,3.7,-1.147,550.0,7.6,-1.294,550.0
42.150000000000006,15.3,1.323,1075.0,10.8,1.352,1175.0,6.2,1.264,1125.0,1.9,0.529,950.0,0.1,0.029,625.0,0.0,-0.176,575.0,0.6,-1.0,575.0,4.0,-1.147,575.0,7.9,-0.882,575.0,10.9,-1.205,575.0,17.4,1.029,1075.0,13.9,1.294,1025.0,9.5,1.0,1025.0,6.1,0.882,1050.0,3.1,0.794,1200.0,0.1,0.029,875.0,0.0,0.0,550.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,-0.058,550.0,0.0,0.0,650.0,0.0,0.0,650.0,0.0,-0.294,575.0,1.0,-1.264,550.0,5.3,-1.294,525.0,8.9,1.323,1050.0,4.4,1.088,1175.0,0.7,0.205,825.0,0.0,0.0,550.0,0.0,0.0,550.0
39.35,34.8,1.235,1175.0,30.6,1.264,1025.0,26.3,0.882,1225.0,23.3,1.029,975.0,19.8,1.323,1250.0,5.4,0.882,975.0,2.4,0.617,1050.0,0.3,0.088,850.0,0.0,0.0,650.0,0.0,0.0,575.0,35.3,0.911,1125.0,32.2,0.941,975.0,29.0,1.264,1025.0,24.7,1.264,1025.0,20.4,0.882,1225.0,19.9,1.323,1350.0,15.4,1.323,1325.0,10.9,1.323,1325.0,6.4,1.205,1325.0,2.3,0.647,1225.0,11.0,1.264,1250.0,6.7,1.117,1075.0,2.9,0.735,1100.0,0.4,0.117,900.0,0.0,0.0,650.0,29.1,0.911,1025.0,26.0,1.058,1000.0,22.4,1.323,1000.0,17.9,1.294,1025.0,13.5,1.352,1025.0
0.0,30.9,-1.235,500.0,35.1,-0.764,850.0,37.7,-0.529,925.0,39.5,0.5,1175.0,37.8,0.882,1250.0,24.8,1.294,1250.0,20.4,1.352,1275.0,15.8,1.323,1275.0,11.3,1.0,1350.0,7.9,0.735,875.0,37.8,0.264,1050.0,36.9,-0.176,1000.0,37.5,-0.147,950.0,38.0,0.294,1025.0,37.0,0.5,1075.0,39.0,1.205,1400.0,34.9,1.147,1100.0,31.0,0.852,1200.0,28.1,1.088,1225.0,24.4,1.323,1300.0,31.6,0.852,950.0,28.7,1.264,1150.0,24.4,1.294,1200.0,20.0,1.323,1250.0,15.5,1.323,1100.0,37.0,-0.764,800.0,39.6,-0.117,1000.0,40.0,0.735,975.0,37.5,1.264,1025.0,33.2,1.205,1000.0
0.0,11.3,-1.264,500.0,15.6,-1.235,500.0,19.8,-0.911,500.0,22.9,-1.029,500.0,26.4,-1.323,500.0,38.0,0.411,1125.0,36.6,0.294,925.0,35.6,0.764,975.0,33.0,1.058,925.0,29.4,1.352,1275.0,36.9,-0.117,1000.0,37.3,0.352,1025.0,36.1,-0.147,1025.0,36.6,-0.441,1050.0,38.1,0.088,1000.0,25.4,-1.294,550.0,29.8,-1.352,550.0,34.4,-1.323,875.0,38.9,-0.352,1075.0,40.1,0.323,1175.0,33.9,-1.264,625.0,38.2,-0.705,950.0,40.6,0.411,1075.0,39.2,1.147,1350.0,35.3,1.088,1300.0,16.7,-0.911,525.0,19.8,-1.058,550.0,23.4,-1.323,675.0,27.9,-1.323,650.0,32.4,-1.352,600.0
