power,vel1_lag0,acc1_lag0,power1_lag0,vel1_lag1,acc1_lag1,power1_lag1,vel1_lag2,acc1_lag2,power1_lag2,vel1_lag3,acc1_lag3,power1_lag3,vel1_lag4,acc1_lag4,power1_lag4,vel2_lag0,acc2_lag0,power2_lag0,vel2_lag1,acc2_lag1,power2_lag1,vel2_lag2,acc2_lag2,power2_lag2,vel2_lag3,acc2_lag3,power2_lag3,vel2_lag4,acc2_lag4,power2_lag4,vel6_lag0,acc6_lag0,power6_lag0,vel6_lag1,acc6_lag1,power6_lag1,vel6_lag2,acc6_lag2,power6_lag2,vel6_lag3,acc6_lag3,power6_lag3,vel6_lag4,acc6_lag4,power6_lag4,vel8_lag0,acc8_lag0,power8_lag0,vel8_lag1,acc8_lag1,power8_lag1,vel8_lag2,acc8_lag2,power8_lag2,vel8_lag3,acc8_lag3,power8_lag3,vel8_lag4,acc8_lag4,power8_lag4
24175.0,16.7,0.882,975.0,13.7,0.882,900.0,10.7,0.828,925.0,7.8,0.911,1150.0,4.7,0.911,1150.0,12.7,0.911,1075.0,9.6,0.882,1175.0,6.6,0.852,1500.0,3.7,0.794,1025.0,1.0,0.294,1025.0,6.7,0.852,1450.0,3.8,0.852,1375.0,0.9,0.264,1375.0,0.0,-0.058,1075.0,0.2,-0.823,850.0,17.4,0.852,1400.0,14.5,0.882,1375.0,11.5,0.882,1325.0,8.5,0.882,1350.0,5.5,0.911,1300.0
23650.0,29.8,0.323,1125.0,28.7,0.882,950.0,25.7,0.882,975.0,22.7,0.882,1000.0,19.7,0.882,1300.0,27.4,0.8,1150.0,24.6,0.911,1225.0,21.5,0.882,1350.0,18.5,0.882,1175.0,15.5,0.823,1175.0,21.4,0.852,1450.0,18.5,0.823,1375.0,15.7,0.911,1350.0,12.6,0.852,1075.0,9.7,0.882,1325.0,29.9,0.205,1300.0,29.2,0.852,1400.0,26.3,0.852,1275.0,23.4,0.882,875.0,20.4,0.882,1325.0
23325.0,29.4,0.029,1025.0,29.3,0.0,1000.0,29.3,0.0,950.0,29.3,-0.117,850.0,29.7,-0.029,1225.0,29.5,-0.088,1100.0,29.8,0.029,1200.0,29.7,0.029,1150.0,29.6,0.088,1150.0,29.3,0.558,1025.0,29.5,0.0,1250.0,29.5,0.0,1400.0,29.5,0.588,1375.0,27.5,0.882,1225.0,24.5,0.911,1100.0,29.6,-0.029,1250.0,29.7,0.0,1375.0,29.7,0.0,1400.0,29.7,-0.029,1350.0,29.8,-0.029,1250.0
19850.0,29.5,0.029,1100.0,29.4,0.0,950.0,29.4,0.029,950.0,29.3,-0.029,950.0,29.4,0.0,1025.0,28.3,-0.235,875.0,29.1,-0.147,1050.0,29.6,-0.029,950.0,29.7,0.029,1400.0,29.6,0.029,1125.0,29.7,0.058,1275.0,29.5,0.029,1450.0,29.4,-0.088,1375.0,29.7,0.029,1250.0,29.6,0.029,1100.0,29.2,0.0,1325.0,29.2,0.029,1425.0,29.1,0.029,1375.0,29.0,-0.088,1350.0,29.3,-0.088,1025.0
17325.0,29.7,0.0,1200.0,29.7,0.0,1075.0,29.7,0.0,925.0,29.7,0.029,850.0,29.6,0.029,1125.0,15.7,-0.823,575.0,18.5,-0.911,550.0,21.6,-0.882,550.0,24.6,-0.794,525.0,27.3,-0.294,900.0,21.4,-0.882,550.0,24.4,-0.852,725.0,27.3,-0.47,1225.0,28.9,-0.176,1350.0,29.5,-0.058,1075.0,29.2,0.029,1275.0,29.1,-0.029,1350.0,29.2,0.029,1325.0,29.1,0.0,1375.0,29.1,-0.029,1325.0
17450.0,29.6,0.0,975.0,29.6,0.029,975.0,29.5,0.0,1000.0,29.5,-0.029,1000.0,29.6,-0.029,1150.0,2.2,-0.588,550.0,4.2,-0.764,550.0,6.8,-0.852,550.0,9.7,-0.882,575.0,12.7,-0.882,575.0,6.5,-0.882,550.0,9.5,-0.882,550.0,12.5,-0.823,550.0,15.3,-0.911,575.0,18.4,-0.882,550.0,29.5,-0.029,1150.0,29.6,0.0,1400.0,29.6,-0.029,1400.0,29.7,0.058,1375.0,29.5,0.088,1325.0
17625.0,29.8,0.0,1350.0,29.8,0.0,1050.0,29.8,0.029,900.0,29.7,0.0,925.0,29.7,0.029,975.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,575.0,0.0,-0.058,550.0,0.2,-0.588,575.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,-0.352,550.0,1.2,-0.705,550.0,3.6,-0.852,550.0,29.5,0.029,1375.0,29.4,0.029,1150.0,29.3,-0.029,1400.0,29.4,0.0,1400.0,29.4,-0.029,1350.0
18975.0,29.6,-0.029,1175.0,29.7,-0.058,1050.0,29.9,0.0,950.0,29.9,0.0,1000.0,29.9,0.029,1225.0,0.0,0.0,550.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,550.0,29.7,0.0,1300.0,29.7,0.029,1325.0,29.6,0.0,1375.0,29.6,0.029,1325.0,29.5,0.0,1350.0
23475.0,17.9,-0.382,925.0,19.2,-0.735,850.0,21.7,-0.852,700.0,24.6,-0.882,650.0,27.6,-0.588,700.0,9.7,0.911,1250.0,6.6,0.882,1100.0,3.6,0.852,1350.0,0.7,0.205,900.0,0.0,0.0,550.0,3.9,0.852,1300.0,1.0,0.294,875.0,0.0,0.0,650.0,0.0,0.0,550.0,0.0,0.0,550.0,28.5,-0.352,825.0,29.7,-0.058,1250.0,29.9,0.0,1400.0,29.9,0.0,1350.0,29.9,0.058,1250.0
23325.0,14.3,-0.176,950.0,14.9,-0.117,925.0,15.3,-0.205,1025.0,16.0,-0.235,900.0,16.8,-0.323,950.0,24.6,0.852,1000.0,21.7,0.941,1125.0,18.5,0.882,1350.0,15.5,0.852,1075.0,12.6,0.852,1150.0,19.0,0.911,1350.0,15.9,0.852,1375.0,13.0,0.882,1300.0,10.0,0.911,1400.0,6.9,0.882,1425.0,21.5,-0.323,1325.0,22.6,-0.323,1275.0,23.7,-0.294,1300.0,24.7,-0.441,1350.0,26.2,-0.676,925.0
