power,vel3_lag0,acc3_lag0,power3_lag0,vel3_lag1,acc3_lag1,power3_lag1,vel3_lag2,acc3_lag2,power3_lag2,vel3_lag3,acc3_lag3,power3_lag3,vel3_lag4,acc3_lag4,power3_lag4,vel4_lag0,acc4_lag0,power4_lag0,vel4_lag1,acc4_lag1,power4_lag1,vel4_lag2,acc4_lag2,power4_lag2,vel4_lag3,acc4_lag3,power4_lag3,vel4_lag4,acc4_lag4,power4_lag4,vel5_lag0,acc5_lag0,power5_lag0,vel5_lag1,acc5_lag1,power5_lag1,vel5_lag2,acc5_lag2,power5_lag2,vel5_lag3,acc5_lag3,power5_lag3,vel5_lag4,acc5_lag4,power5_lag4,vel7_lag0,acc7_lag0,power7_lag0,vel7_lag1,acc7_lag1,power7_lag1,vel7_lag2,acc7_lag2,power7_lag2,vel7_lag3,acc7_lag3,power7_lag3,vel7_lag4,acc7_lag4,power7_lag4,vel9_lag0,acc9_lag0,power9_lag0,vel9_lag1,acc9_lag1,power9_lag1,vel9_lag2,acc9_lag2,power9_lag2,vel9_lag3,acc9_lag3,power9_lag3,vel9_lag4,acc9_lag4,power9_lag4,vel10_lag0,acc10_lag0,power10_lag0,vel10_lag1,acc10_lag1,power10_lag1,vel10_lag2,acc10_lag2,power10_lag2,vel10_lag3,acc10_lag3,power10_lag3,vel10_lag4,acc10_lag4,power10_lag4
21250.0,29.7,0.0,1050.0,29.7,0.0,1300.0,29.7,0.117,1125.0,29.3,0.617,1200.0,27.2,0.852,1275.0,13.3,-0.882,550.0,16.3,-0.911,575.0,19.4,-0.882,575.0,22.4,-0.882,575.0,25.4,-0.735,875.0,25.8,-0.852,800.0,28.7,-0.117,1225.0,29.1,0.0,1450.0,29.1,-0.058,1150.0,29.3,0.264,1200.0,22.7,-0.852,700.0,25.6,-0.911,875.0,28.7,0.029,1075.0,28.6,0.029,900.0,28.5,0.235,1300.0,0.0,0.0,525.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,550.0,6.6,-0.852,500.0,9.5,-0.852,500.0,12.4,-0.882,500.0,15.4,-0.882,500.0,18.4,-0.882,525.0
29375.0,16.3,-0.852,550.0,19.2,-0.882,600.0,22.2,-0.882,600.0,25.2,-0.882,650.0,28.2,-0.441,825.0,4.1,0.264,1175.0,3.2,-0.47,800.0,4.8,-0.794,575.0,7.5,-0.852,575.0,10.4,-0.852,575.0,11.0,-0.911,600.0,14.1,-0.882,600.0,17.1,-0.852,600.0,20.0,-0.852,625.0,22.9,-0.852,625.0,7.7,-0.882,600.0,10.7,-0.882,550.0,13.7,-0.911,575.0,16.8,-0.882,575.0,19.8,-0.852,600.0,6.5,0.882,1100.0,3.5,0.823,1125.0,0.7,0.205,850.0,0.0,0.0,525.0,0.0,0.0,550.0,7.2,0.882,1025.0,4.2,0.794,1175.0,1.5,-0.205,975.0,2.2,-0.588,525.0,4.2,-0.705,525.0
33550.0,5.6,-0.117,925.0,6.0,-0.382,1100.0,7.3,-0.882,625.0,10.3,-0.882,575.0,13.3,-0.882,600.0,18.8,0.882,1225.0,15.8,0.882,925.0,12.8,0.882,1150.0,9.8,0.911,1125.0,6.7,0.764,1275.0,5.8,0.676,1325.0,3.5,-0.058,1275.0,3.7,-0.47,1025.0,5.3,-0.823,725.0,8.1,-0.852,575.0,9.1,0.882,1200.0,6.1,0.882,1275.0,3.1,-0.323,1175.0,4.2,-0.323,775.0,5.3,-0.705,750.0,21.6,0.911,1150.0,18.5,0.882,1075.0,15.5,0.852,1100.0,12.6,0.882,925.0,9.6,0.911,850.0,22.2,0.911,900.0,19.1,0.882,1025.0,16.1,0.852,925.0,13.2,0.882,925.0,10.2,0.882,875.0
32775.0,12.3,0.529,1250.0,10.5,0.47,1225.0,8.9,0.47,1225.0,7.3,0.47,1200.0,5.7,0.029,825.0,29.8,0.088,950.0,29.5,0.529,900.0,27.7,0.882,850.0,24.7,0.882,1100.0,21.7,0.852,1150.0,17.5,0.705,1225.0,15.1,0.705,1325.0,12.7,0.705,1275.0,10.3,0.676,1325.0,8.0,0.647,1300.0,24.0,0.852,1275.0,21.1,0.882,1325.0,18.1,0.882,1300.0,15.1,0.852,1275.0,12.2,0.911,1350.0,29.3,-0.117,900.0,29.7,-0.029,1025.0,29.8,0.676,1125.0,27.5,0.852,975.0,24.6,0.882,925.0,29.8,0.0,925.0,29.8,0.029,1175.0,29.7,0.529,1075.0,27.9,0.852,875.0,25.0,0.823,900.0
30500.0,22.2,0.147,1375.0,21.7,0.382,1275.0,20.4,0.911,925.0,17.3,0.823,1050.0,14.5,0.647,1150.0,27.0,-0.352,850.0,28.2,-0.294,925.0,29.2,-0.147,925.0,29.7,-0.029,1150.0,29.8,0.0,1300.0,26.0,0.264,1150.0,25.1,0.147,1250.0,24.6,0.5,1400.0,22.9,0.852,1150.0,20.0,0.735,1300.0,29.7,-0.029,1200.0,29.8,0.029,1350.0,29.7,0.382,1275.0,28.4,0.588,1150.0,26.4,0.705,1025.0,28.7,-0.029,875.0,28.8,0.0,1075.0,28.8,-0.029,1100.0,28.9,0.0,1025.0,28.9,-0.117,1000.0,28.6,-0.235,850.0,29.4,-0.088,875.0,29.7,0.0,975.0,29.7,0.0,925.0,29.7,-0.029,900.0
29500.0,28.8,0.382,1350.0,27.5,0.382,1350.0,26.2,0.323,1350.0,25.1,0.441,975.0,23.6,0.411,1100.0,15.3,-0.117,1150.0,15.7,-0.705,800.0,18.1,-0.882,525.0,21.1,-0.882,550.0,24.1,-0.852,525.0,27.6,-0.205,1075.0,28.3,0.147,1375.0,27.8,0.176,1425.0,27.2,0.176,1275.0,26.6,0.176,1150.0,21.4,-0.852,600.0,24.3,-0.882,950.0,27.3,-0.542,1125.0,29.2,-0.117,900.0,29.6,-0.029,975.0,28.9,0.085,850.0,28.6,0.058,1225.0,28.4,0.0,1175.0,28.4,-0.029,1000.0,28.5,-0.058,900.0,27.9,-0.235,775.0,28.7,0.0,1000.0,28.7,-0.029,1125.0,28.8,0.0,1000.0,28.8,0.058,925.0
29925.0,29.8,0.029,1150.0,29.7,0.029,1250.0,29.6,-0.058,1225.0,29.8,0.058,1200.0,29.6,0.235,1275.0,17.9,0.294,1125.0,16.9,0.294,1125.0,15.9,0.176,1150.0,15.3,0.0,1075.0,15.3,0.0,1225.0,17.4,-0.147,1175.0,17.9,-0.558,950.0,19.8,-0.705,825.0,22.2,-0.882,650.0,25.2,-0.705,650.0,15.3,0.0,1375.0,15.3,-0.117,1275.0,15.7,-0.441,1050.0,17.2,-0.558,825.0,19.1,-0.676,875.0,28.8,-0.088,925.0,29.1,0.029,975.0,29.0,0.029,1075.0,28.9,0.0,950.0,28.9,0.0,900.0,17.2,-0.676,525.0,19.5,-0.794,525.0,22.2,-0.852,525.0,25.1,-0.529,775.0,26.9,-0.303,875.0
24700.0,24.0,-0.882,725.0,27.0,-0.294,1175.0,28.0,-0.205,1200.0,28.7,-0.294,925.0,29.7,-0.029,1000.0,29.8,0.117,1000.0,29.4,0.705,1125.0,27.0,0.882,1075.0,24.0,0.882,1025.0,21.0,0.911,1025.0,19.1,0.382,1275.0,17.8,0.058,1050.0,17.6,0.0,1375.0,17.6,0.0,1225.0,17.6,0.058,1150.0,23.6,0.852,975.0,20.7,0.852,1375.0,17.8,0.558,1325.0,15.9,0.147,1350.0,15.4,0.029,1300.0,27.4,-0.352,775.0,28.6,-0.058,825.0,28.8,-0.058,1025.0,29.0,0.0,1050.0,29.0,0.058,950.0,3.1,-0.647,525.0,5.3,-0.882,525.0,8.3,-0.882,550.0,11.3,-0.852,525.0,14.2,-0.882,500.0
18650.0,9.1,-0.882,550.0,12.1,-0.882,550.0,15.1,-0.852,550.0,18.0,-0.882,550.0,21.0,-0.882,550.0,18.8,-0.852,575.0,21.7,-0.852,700.0,24.6,-0.882,675.0,27.6,-0.588,775.0,29.6,-0.058,1175.0,29.7,0.058,1325.0,29.5,0.617,1350.0,27.4,0.705,1200.0,25.0,0.882,1375.0,22.0,0.852,1350.0,28.8,-0.323,925.0,29.9,0.117,1200.0,29.5,0.47,1375.0,27.9,0.5,1150.0,26.2,0.764,1225.0,13.0,-0.823,550.0,15.8,-0.882,575.0,18.8,-0.882,550.0,21.8,-0.882,550.0,24.8,-0.764,725.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,-0.352,525.0,1.2,-0.558,525.0
24850.0,0.2,0.058,825.0,0.0,-0.588,550.0,2.0,-0.588,550.0,4.0,-0.617,550.0,6.1,-0.882,550.0,3.8,-0.882,600.0,6.8,-0.882,550.0,9.8,-0.852,575.0,12.7,-0.882,575.0,15.7,-0.911,575.0,19.0,-0.882,550.0,22.0,-0.911,550.0,25.1,-0.852,550.0,28.0,-0.5,1175.0,29.7,0.0,1325.0,14.0,-0.852,625.0,16.9,-0.882,625.0,19.9,-0.852,650.0,22.8,-0.911,675.0,25.9,-0.852,600.0,0.0,-0.5,575.0,1.7,-0.823,550.0,4.5,-0.794,550.0,7.2,-0.882,575.0,10.2,-0.823,550.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,0.0,525.0
