power,vel7_lag0,acc7_lag0,power7_lag0,vel7_lag1,acc7_lag1,power7_lag1,vel7_lag2,acc7_lag2,power7_lag2,vel7_lag3,acc7_lag3,power7_lag3,vel7_lag4,acc7_lag4,power7_lag4,vel2_lag0,acc2_lag0,power2_lag0,vel2_lag1,acc2_lag1,power2_lag1,vel2_lag2,acc2_lag2,power2_lag2,vel2_lag3,acc2_lag3,power2_lag3,vel2_lag4,acc2_lag4,power2_lag4,vel4_lag0,acc4_lag0,power4_lag0,vel4_lag1,acc4_lag1,power4_lag1,vel4_lag2,acc4_lag2,power4_lag2,vel4_lag3,acc4_lag3,power4_lag3,vel4_lag4,acc4_lag4,power4_lag4,vel9_lag0,acc9_lag0,power9_lag0,vel9_lag1,acc9_lag1,power9_lag1,vel9_lag2,acc9_lag2,power9_lag2,vel9_lag3,acc9_lag3,power9_lag3,vel9_lag4,acc9_lag4,power9_lag4,vel10_lag0,acc10_lag0,power10_lag0,vel10_lag1,acc10_lag1,power10_lag1,vel10_lag2,acc10_lag2,power10_lag2,vel10_lag3,acc10_lag3,power10_lag3,vel10_lag4,acc10_lag4,power10_lag4,vel6_lag0,acc6_lag0,power6_lag0,vel6_lag1,acc6_lag1,power6_lag1,vel6_lag2,acc6_lag2,power6_lag2,vel6_lag3,acc6_lag3,power6_lag3,vel6_lag4,acc6_lag4,power6_lag4,vel5_lag0,acc5_lag0,power5_lag0,vel5_lag1,acc5_lag1,power5_lag1,vel5_lag2,acc5_lag2,power5_lag2,vel5_lag3,acc5_lag3,power5_lag3,vel5_lag4,acc5_lag4,power5_lag4,vel3_lag0,acc3_lag0,power3_lag0,vel3_lag1,acc3_lag1,power3_lag1,vel3_lag2,acc3_lag2,power3_lag2,vel3_lag3,acc3_lag3,power3_lag3,vel3_lag4,acc3_lag4,power3_lag4
41800.0,5.1,-0.852,625.0,8.0,-0.911,600.0,11.1,-0.882,550.0,14.1,-0.882,550.0,17.1,-0.852,550.0,14.5,-0.794,675.0,17.2,-0.764,675.0,19.8,-0.794,675.0,22.5,-0.794,700.0,25.2,-0.676,1025.0,0.8,0.235,1000.0,0.0,-0.529,850.0,1.8,-0.882,600.0,4.8,-0.882,575.0,7.8,-0.852,575.0,8.5,-0.882,550.0,11.5,-0.852,550.0,14.4,-0.882,550.0,17.4,-0.882,550.0,20.4,-0.882,550.0,12.0,-0.823,550.0,14.8,-0.794,675.0,17.5,-0.823,650.0,20.3,-0.823,675.0,23.1,-0.823,600.0,16.1,0.852,1425.0,13.2,0.909,1150.0,10.2,0.857,1350.0,7.2,0.882,1050.0,4.2,0.911,1375.0,6.4,0.852,1450.0,3.5,0.588,925.0,1.5,0.323,825.0,0.4,0.117,800.0,0.0,-0.705,525.0,12.1,0.882,1150.0,9.1,0.852,1075.0,6.2,0.882,1600.0,3.2,0.617,1500.0,1.1,0.323,1400.0
46250.0,10.3,0.852,1350.0,7.4,0.828,950.0,4.5,0.882,1075.0,1.5,-0.235,1025.0,2.3,-0.823,675.0,0.7,-0.764,800.0,3.3,-0.882,575.0,6.3,-0.852,575.0,9.2,-0.764,575.0,11.8,-0.794,575.0,14.7,0.882,1375.0,11.7,0.852,1250.0,8.8,0.882,1300.0,5.8,0.823,1075.0,3.0,0.647,1125.0,8.4,0.852,875.0,5.5,0.764,1000.0,2.9,0.0,1125.0,2.9,-0.735,600.0,5.4,-0.911,550.0,4.2,0.705,975.0,1.8,-0.382,850.0,3.1,-0.882,650.0,6.1,-0.882,525.0,9.1,-0.852,525.0,29.9,0.529,1250.0,28.1,0.882,1400.0,25.1,0.852,1400.0,22.2,0.911,1225.0,19.1,0.882,1000.0,21.1,0.852,1525.0,18.2,0.852,1200.0,15.3,0.911,1325.0,12.2,0.852,1275.0,9.3,0.852,1525.0,26.8,0.852,1350.0,23.9,0.911,1250.0,20.8,0.852,1175.0,17.9,0.882,1475.0,14.9,0.823,1450.0
48725.0,24.8,0.823,1275.0,22.0,0.823,1200.0,19.2,0.882,1175.0,16.2,0.882,1025.0,13.2,0.852,1475.0,12.3,0.852,1300.0,9.4,0.882,1425.0,6.4,0.852,1325.0,3.5,0.588,1125.0,1.5,0.235,775.0,28.8,0.676,1175.0,26.5,0.852,1325.0,23.6,0.882,1325.0,20.6,0.852,1250.0,17.7,0.882,1075.0,22.5,0.882,875.0,19.5,0.882,1025.0,16.5,0.852,1100.0,13.6,0.764,1075.0,11.0,0.764,1275.0,18.4,0.852,900.0,15.5,0.852,1000.0,12.6,0.764,850.0,10.0,0.852,925.0,7.1,0.852,1100.0,22.1,-0.235,1325.0,22.9,-0.47,1325.0,24.5,-0.676,900.0,26.8,-0.823,650.0,29.6,-0.088,1075.0,29.6,0.0,1400.0,29.6,0.303,1075.0,28.6,0.542,1025.0,26.7,0.764,1450.0,24.1,0.882,1600.0,25.0,-0.323,1125.0,26.1,-0.794,1025.0,28.8,-0.176,950.0,29.4,0.235,1450.0,28.6,0.529,1500.0
40000.0,29.0,-0.029,1425.0,29.1,-0.029,1425.0,29.2,0.029,1250.0,29.1,0.47,1300.0,27.5,0.794,1250.0,26.6,0.794,1250.0,23.9,0.852,1325.0,21.0,0.882,1200.0,18.0,0.852,1050.0,15.1,0.823,1225.0,29.7,0.029,1050.0,29.6,0.0,1350.0,29.6,0.0,1275.0,29.6,0.058,1250.0,29.4,0.176,1175.0,28.2,0.0,925.0,28.2,0.029,1250.0,28.1,0.117,1050.0,27.7,0.735,1175.0,25.2,0.794,1125.0,29.3,0.058,925.0,29.1,0.47,925.0,27.5,0.882,875.0,24.5,0.882,1075.0,21.5,0.911,875.0,21.3,-0.117,1225.0,21.7,-0.058,1350.0,21.9,0.0,950.0,21.9,-0.029,1300.0,22.0,-0.029,1225.0,28.4,0.0,1525.0,28.4,-0.147,1450.0,28.9,-0.176,1325.0,29.5,-0.029,1550.0,29.6,0.0,1600.0,23.9,-0.205,950.0,24.6,-0.029,975.0,24.7,-0.029,1500.0,24.8,-0.058,1450.0,25.0,0.0,1350.0
29200.0,29.1,0.0,1300.0,29.1,0.029,1375.0,29.0,-0.057,1175.0,29.2,0.029,1300.0,29.1,0.029,1000.0,20.8,-0.852,550.0,23.7,-0.882,725.0,26.7,-0.323,1100.0,27.8,0.0,1025.0,27.8,0.352,1175.0,24.5,-0.911,600.0,27.6,-0.588,750.0,29.6,0.0,1050.0,29.6,0.029,1200.0,29.5,-0.058,1125.0,28.5,-0.058,825.0,28.7,0.029,1000.0,28.6,0.029,1075.0,28.5,0.058,1050.0,28.3,0.029,1000.0,29.6,0.0,900.0,29.6,0.0,900.0,29.6,0.058,875.0,29.4,0.029,1000.0,29.3,0.0,1000.0,15.9,-0.617,575.0,18.0,-0.411,550.0,19.4,-0.235,550.0,20.2,-0.058,625.0,20.4,-0.264,1300.0,18.3,-0.852,1100.0,21.2,-0.823,1150.0,24.0,-0.617,1225.0,26.1,-0.617,1250.0,28.2,-0.058,1500.0,17.2,-0.588,900.0,19.2,-0.058,950.0,19.4,-0.558,1075.0,21.3,-0.382,1400.0,22.6,-0.382,775.0
27800.0,14.7,-0.882,600.0,17.7,-0.794,575.0,20.4,-0.882,575.0,23.4,-0.882,575.0,26.4,-0.794,600.0,6.2,-0.882,550.0,9.2,-0.882,550.0,12.2,-0.852,550.0,15.1,-0.852,550.0,18.0,-0.823,550.0,9.6,-0.911,575.0,12.7,-0.882,600.0,15.7,-0.882,550.0,18.7,-0.852,575.0,21.6,-0.852,550.0,17.2,-0.852,575.0,20.1,-0.852,550.0,23.0,-0.852,550.0,25.9,-0.735,750.0,28.4,-0.029,875.0,29.4,0.0,950.0,29.4,0.0,925.0,29.4,-0.029,925.0,29.5,0.0,1000.0,29.5,-0.029,1150.0,1.7,-0.764,550.0,4.3,-0.794,550.0,7.0,-0.882,550.0,10.0,-0.882,550.0,13.0,-0.852,550.0,4.8,-0.882,900.0,7.8,-0.705,900.0,10.2,-0.705,925.0,12.6,-0.823,1300.0,15.4,-0.852,1275.0,3.6,-0.647,875.0,5.8,-0.882,875.0,8.8,-0.852,875.0,11.7,-0.794,875.0,14.4,-0.823,875.0
27350.0,0.2,-0.823,625.0,3.0,-0.823,625.0,5.8,-0.852,625.0,8.7,-0.882,625.0,11.7,-0.882,600.0,0.0,0.0,550.0,0.0,0.0,575.0,0.0,-0.529,550.0,1.8,-0.558,550.0,3.7,-0.735,550.0,0.0,0.0,600.0,0.0,-0.264,575.0,0.9,-0.882,600.0,3.9,-0.852,575.0,6.8,-0.823,575.0,2.8,-0.852,550.0,5.7,-0.882,550.0,8.7,-0.882,575.0,11.7,-0.852,575.0,14.6,-0.764,575.0,29.7,-0.029,1050.0,29.8,0.029,875.0,29.7,0.058,825.0,29.5,0.0,1025.0,29.5,0.029,850.0,0.0,0.0,550.0,0.0,0.0,525.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,-0.5,550.0,0.1,0.0,900.0,0.1,-0.058,925.0,0.3,-0.205,900.0,1.0,-0.323,900.0,2.1,-0.794,900.0,0.0,0.0,850.0,0.0,0.0,900.0,0.0,-0.088,850.0,0.3,-0.529,850.0,2.1,-0.441,850.0
32100.0,0.0,0.0,625.0,0.0,0.0,625.0,0.0,0.0,625.0,0.0,0.0,625.0,0.0,-0.058,625.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,525.0,0.0,0.0,575.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,0.0,575.0,0.0,0.0,575.0,0.0,0.0,575.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,0.0,525.0,0.0,-0.058,525.0,0.2,-0.764,550.0,22.4,-0.882,650.0,25.4,-0.882,700.0,28.4,-0.411,775.0,29.8,0.0,1000.0,29.8,0.029,1050.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,575.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,0.0,925.0,0.0,0.0,900.0,0.0,0.0,925.0,0.0,-0.029,900.0,0.1,0.0,875.0,0.0,0.0,900.0,0.0,0.0,875.0,0.0,0.0,900.0,0.0,0.0,900.0,0.0,0.0,875.0
39700.0,0.0,0.0,575.0,0.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,625.0,8.6,0.911,1325.0,5.5,0.911,1350.0,2.4,0.705,1200.0,0.0,0.0,525.0,0.0,0.0,550.0,0.0,0.0,600.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,525.0,0.0,0.0,575.0,0.0,0.0,550.0,0.0,0.0,550.0,0.0,0.0,550.0,7.6,-0.852,575.0,10.5,-0.882,650.0,13.5,-0.882,700.0,16.5,-0.852,775.0,19.4,-0.882,675.0,8.7,0.882,1125.0,5.7,0.911,1000.0,2.6,0.735,1250.0,0.1,0.029,575.0,0.0,0.0,550.0,0.4,0.117,1225.0,0.0,0.0,1025.0,0.0,0.0,925.0,0.0,0.0,900.0,0.0,0.0,925.0,3.9,0.764,1500.0,1.3,0.352,1325.0,0.1,0.029,1025.0,0.0,0.0,875.0,0.0,0.0,875.0
43525.0,1.1,0.294,900.0,0.1,0.029,800.0,0.0,0.0,575.0,0.0,0.0,575.0,0.0,0.0,575.0,20.9,0.147,1125.0,20.4,0.852,1225.0,17.5,0.911,1425.0,14.4,0.852,1175.0,11.5,0.852,1250.0,5.5,0.823,925.0,2.7,0.529,1025.0,0.9,0.176,775.0,0.3,0.088,800.0,0.0,0.0,650.0,0.0,0.0,700.0,0.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,550.0,0.0,0.0,550.0,0.1,0.0,600.0,0.1,0.029,600.0,0.0,-0.47,600.0,1.6,-0.882,600.0,4.6,-0.882,600.0,23.7,0.882,1375.0,20.7,0.911,1075.0,17.6,0.882,1125.0,14.6,0.852,1375.0,11.7,0.882,1250.0,12.4,0.852,1575.0,9.5,0.882,1500.0,6.5,0.852,1450.0,3.6,0.647,1425.0,1.4,0.294,1375.0,18.7,0.852,1350.0,15.8,0.852,1500.0,12.9,0.911,900.0,9.8,0.852,1075.0,6.9,0.882,1550.0
